step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_agent_loop_response_length_min,timing_s_agent_loop_response_length_max,timing_s_agent_loop_response_length_mean,timing_s_agent_loop_llm_response_length_min,timing_s_agent_loop_llm_response_length_max,timing_s_agent_loop_llm_response_length_mean,timing_s_agent_loop_num_turns_min,timing_s_agent_loop_num_turns_max,timing_s_agent_loop_num_turns_mean,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_update_actor,timing_per_token_ms_adv,timing_per_token_ms_gen,perf_total_num_tokens,perf_time_per_step,perf_throughput,timing_s_save_checkpoint
1,True,6776,0.08066140115261078,0.0034567283628348378,0.0007990877729753265,9.29984685171803e-06,0.0033289113926002756,-0.05690523609519005,-0.05357632471714169,1.0,423.5,1.0,0.0,1.26189174503088,1.26189174503088,9070112.4375,0.4158317418769002,0.4158317418769002,0.039410057409581735,-0.05690523609519005,0.5944508126597815,0.0034567283628348378,0.0007990877729753265,9.29984685171803e-06,0.20728631224483252,-1.0874697975814342,0.0,0.0,0.2,0.2,0.2,3.0,0.73046875,0.17230325469299157,189.24142932891846,199.2265625,278.9587821960449,5e-06,1,0,0.1328125,1.0,0.0,0.1328125,1.0,0.0,-0.05795580521225929,2.4748666286468506,-1.20761239528656,-0.05795580521225929,2.4748666286468506,-1.20761239528656,3686.3828125,4096.0,1464.0,0.6015625,1416.203125,3033.0,486.0,3686.3828125,4096.0,1464.0,0.6015625,0.0,727.9375,1000.0,326.0,0.0,13,31,25.8046875,0.5625,0.4375,1.0625,5,1.0625,8.0,8,8,0.00010274723172187805,4.80129255913198,30.983180847018957,14.89342027726525,2.065835377201438,39.30483929999173,10.847978067482472,14.624061742797494,39.30483929999173,628,4096,1464.0,4096.0,3686.3828125,486.0,3033.0,1416.203125,13.0,31.0,25.8046875,76.99815175868571,0.00013426132500171661,6.184470362961292,0.0034281685948371887,51.46697977744043,134.69498592615128,3.928877413272858e-05,0.09108667949914506,6.067200667637446e-06,0.16318111580136715,565033,134.69498592615128,2097.453725225483,
2,True,3416,0.0768151804804802,0.0021983890401315875,9.800332520626398e-05,2.670789308467647e-05,0.0031346572504844517,-0.08240685891360044,-0.0792722015758045,1.0,213.5,1.0,0.0,1.1613851338624954,1.1613851338624954,9043893.21875,0.6035955650731921,0.6035955650731921,0.017155660321131597,-0.08240685891360044,0.6970759447376008,0.0021983890401315875,9.800332520626398e-05,2.670789308467647e-05,0.3402105327695608,-0.9902045018970966,0.0,0.0,0.2,0.2,0.2,3.0,0.64453125,0.17288846790777257,189.24142932891846,199.2265625,280.02062606811523,5e-06,2,0,0.1171875,1.0,0.0,0.1171875,1.0,0.0,-0.06936141848564148,2.4748666286468506,-0.935412585735321,-0.06936141848564148,2.4748666286468506,-0.935412585735321,3752.4140625,4096.0,1514.0,0.546875,1726.015625,2703.0,450.0,3752.4140625,4096.0,1514.0,0.546875,0.0,544.8125,895.0,330.0,0.0,13,31,27.0546875,0.5,0.5,0.9375,4,0.9375,8.0,8,8,3.371387720108032e-05,4.783950878307223,27.834300255402923,17.92543867760105,1.1108425352722406,26.442196995019913,7.230561133415904,21.510392075404525,26.442196995019913,396,4096,1514.0,4096.0,3752.4140625,450.0,2703.0,1726.015625,13.0,31.0,27.0546875,54.48183129541576,9.105727076530457e-05,3.935682751238346,0.002976996824145317,49.60195211879909,108.05679723992944,3.680214285850525e-05,0.09017798928960193,5.4122786756452965e-06,0.11343079412506482,550045,108.05679723992944,2545.166125823068,
3,True,5216,0.08208368718624115,0.002438031846395461,0.0003133365747771677,1.0891451438510558e-05,0.0014318669091153424,-0.0354965184815228,-0.03406465164152905,1.0,326.0,1.0,0.0,1.1451928839087486,1.1451928839087486,7760742.40625,0.25812940346077085,0.25812940346077085,0.03363999642825527,-0.0354965184815228,0.48638966868147915,0.002438031846395461,0.0003133365747771677,1.0891451438510558e-05,0.14401081716641784,-0.9969698004424572,0.0,0.0,0.2,0.2,0.2,3.0,0.8046875,0.17429233841402136,189.24142932891846,199.2265625,280.73799896240234,5e-06,3,0,0.1328125,1.0,0.0,0.1328125,1.0,0.0,-0.06574377417564392,2.4748666286468506,-1.6201815605163574,-0.06574377417564392,2.4748666286468506,-1.6201815605163574,3648.1328125,4096.0,1340.0,0.5546875,1447.34375,2313.0,479.0,3648.1328125,4096.0,1340.0,0.5546875,0.0,629.3125,949.0,428.0,0.0,13,31,26.46875,0.5625,0.4375,1.0625,6,1.0625,8.0,8,8,3.306940197944641e-05,4.833217419683933,23.5091334246099,14.623778045759536,1.091360291466117,50.98382071964443,13.848603773163632,18.69316428899765,50.98382071964443,481,4096,1340.0,4096.0,3648.1328125,479.0,2313.0,1447.34375,13.0,31.0,26.46875,82.19880515150726,9.570829570293427e-05,3.908187573775649,0.0030107740312814713,49.05343705974519,135.19162945635617,3.688782453536987e-05,0.08959319150366328,5.499000080877479e-06,0.17602927257631207,547513,135.19162945635617,2024.9515528502202,
4,True,3808,0.08199625462293625,0.002132974712367286,2.879377143472084e-05,8.869117323229148e-06,0.00013725119060836732,-0.05532477085944265,-0.05518751934869215,1.0,238.0,1.0,0.0,1.073325339704752,1.073325339704752,8517349.875,0.40688107069581747,0.40688107069581747,0.02264278951521636,-0.05532477085944265,0.5275305152228102,0.002132974712367286,2.879377143472084e-05,8.869117323229148e-06,0.20132996421307325,-0.9101165048778057,0.0,0.0,0.2,0.2,0.2,3.0,0.740234375,0.1724404892378753,189.24142932891846,199.2265625,281.3474769592285,5e-06,4,0,0.21875,1.0,0.0,0.21875,1.0,0.0,-0.05901087075471878,2.4748666286468506,-1.20761239528656,-0.05901087075471878,2.4748666286468506,-1.20761239528656,3539.984375,4096.0,893.0,0.40625,1623.453125,2590.0,416.0,3539.984375,4096.0,893.0,0.40625,0.0,533.375,859.0,346.0,0.0,11,31,26.2734375,0.5,0.5,1.75,8,1.75,8.0,8,8,3.144703805446625e-05,3.8365019727498293,26.716441990807652,16.64975299453363,0.54753009788692,27.539725368842483,7.651174275699304,23.05564690567553,26.25207786820829,439,4096,893.0,4096.0,3539.984375,416.0,2590.0,1623.453125,11.0,31.0,26.2734375,55.44497364200652,0.0001025572419166565,3.8413962852209806,0.0032197069376707077,46.926055589690804,106.25236619636416,5.2226707339286804e-05,0.0900018327733382,6.175237226779777e-06,0.12236321144162561,521390,106.25236619636416,2453.5453593401544,
5,True,5360,0.07800289243459702,0.002112842645146884,-5.6110874766091e-05,1.6479997839269345e-05,0.0021764831471955404,-0.03815097140613943,-0.035974488375359215,1.0,335.0,1.0,0.0,1.256872572004795,1.256872572004795,8619855.0625,0.27928734943270683,0.27928734943270683,0.029765685961464734,-0.03815097140613943,0.5005568301182872,0.002112842645146884,-5.6110874766091e-05,1.6479997839269345e-05,0.15901859756559134,-1.0932917669415474,0.0,0.0,0.2,0.2,0.2,3.0,0.685546875,0.17306677314543,189.24142932891846,199.2265625,281.4214859008789,5e-06,5,0,0.1875,1.0,0.0,0.1875,1.0,0.0,-0.07676924765110016,2.4748666286468506,-1.6201815605163574,-0.07676924765110016,2.4748666286468506,-1.6201815605163574,3566.609375,4096.0,983.0,0.421875,1637.984375,2906.0,416.0,3566.609375,4096.0,983.0,0.421875,0.0,574.6875,939.0,384.0,0.0,11,31,27.0,0.5625,0.4375,1.5,6,1.5,8.0,8,8,4.884600639343262e-05,4.406819568946958,30.086740570142865,17.004346124478616,1.1064529437571764,32.66789399459958,6.62554038495,14.527841605246067,32.66789399459958,416,3328,983.0,4096.0,3566.609375,416.0,2906.0,1637.984375,11.0,31.0,27.0,59.68946792371571,0.00010284967720508575,3.796756885945797,0.0030709095299243927,47.644474713131785,111.17485010437667,3.6777928471565247e-05,0.08988065090029125,5.793228891018424e-06,0.1307471380024702,530086,111.17485010437667,2384.019405028781,
6,True,4280,0.07736483961343765,0.001399489014147548,9.650210404288373e-05,1.2128359685448231e-05,0.006484297875431366,-0.03486618562601507,-0.0283818877505837,1.0,267.5,1.0,0.0,1.128958597779274,1.128958597779274,8037275.6875,0.2551662251353264,0.2551662251353264,0.02232622280062615,-0.03486618562601507,0.34503279918445057,0.001399489014147548,9.650210404288373e-05,1.2128359685448231e-05,0.11438715178519487,-0.9837671630084515,0.0,0.0,0.2,0.2,0.2,3.0,0.556640625,0.1746980612352424,189.24142932891846,199.2265625,282.3873863220215,5e-06,6,0,0.1484375,1.0,0.0,0.1484375,1.0,0.0,-0.07967935502529144,2.4748666286468506,-2.4748666286468506,-0.07967935502529144,2.4748666286468506,-2.4748666286468506,3703.5703125,4096.0,569.0,0.734375,1590.3984375,3024.0,336.0,3703.5703125,4096.0,569.0,0.734375,0.0,653.5,933.0,305.0,0.0,5,31,23.09375,0.6875,0.3125,1.1875,7,1.1875,8.0,8,8,3.0273571610450745e-05,3.2549782060086727,28.703452304005623,15.817171298374888,0.594837972894311,60.7838939987123,16.725005330954446,14.241641875356436,60.7838939987123,672,4096,569.0,4096.0,3703.5703125,336.0,3024.0,1590.3984375,5.0,31.0,23.09375,89.88993129506707,0.00010913237929344177,3.981830893084407,0.003061782568693161,50.15453149005771,144.06117880903184,3.697536885738373e-05,0.08993021667379297,5.489967937696741e-06,0.18961840305082947,557705,144.06117880903184,1935.6533266304043,
7,True,5296,0.07652543485164642,0.0022603393390454585,6.526016818497737e-05,2.8403926535247592e-06,0.00417669813032262,-0.05988102639093995,-0.05570432808599435,1.0,331.0,1.0,0.0,1.2311373874545097,1.2311373874545097,8952918.6875,0.4431015499867499,0.4431015499867499,0.030861129597889985,-0.05988102639093995,0.4891661642439841,0.0022603393390454585,6.526016818497737e-05,2.8403926535247592e-06,0.15835426491685212,-1.0662437453866005,0.0,0.0,0.2,0.2,0.2,3.0,0.64453125,0.17318031387096594,189.24142932891846,199.2265625,283.3338165283203,5e-06,7,0,0.265625,1.0,0.0,0.265625,1.0,0.0,-0.1116107627749443,2.4748666286468506,-2.4748666286468506,-0.1116107627749443,2.4748666286468506,-2.4748666286468506,3466.4609375,4096.0,1218.0,0.4921875,1551.5234375,2774.0,367.0,3466.4609375,4096.0,1218.0,0.4921875,0.0,614.25,1024.0,359.0,0.0,11,31,24.0859375,0.5625,0.4375,2.125,7,2.125,8.0,8,8,2.9899179935455322e-05,3.6874269172549248,30.314306505024433,15.6564470706071,0.6626467201858759,44.28590100072324,10.100060895332717,22.28234637156129,44.28590100072324,359,4096,1218.0,4096.0,3466.4609375,367.0,2774.0,1551.5234375,11.0,31.0,24.0859375,74.96051810495555,0.00010535307228565216,3.7511315289884806,0.0033213701099157333,46.99226391687989,125.74023606069386,4.336796700954437e-05,0.08996644640444448,6.358745909999087e-06,0.16894148188997593,522331,125.74023606069386,2077.0240949280337,
8,True,4432,0.07277610898017883,0.0015572625070490176,3.305319478386082e-05,1.2220227858961152e-05,0.004945153816152015,-0.020321945805335417,-0.015376791619928554,1.0,277.0,1.0,0.0,1.0668417625129223,1.0668417625129223,8122472.375,0.14895594434347004,0.14895594434347004,0.02117364321169462,-0.020321945805335417,0.3478869933651153,0.0015572625070490176,3.305319478386082e-05,1.2220227858961152e-05,0.09536995529197156,-0.923407144844532,0.0,0.0,0.2,0.2,0.2,3.0,0.662109375,0.17432346451814112,189.24142932891846,199.2265625,283.8879508972168,5e-06,8,0,0.171875,1.0,0.0,0.171875,1.0,0.0,-0.06044548377394676,2.4748666286468506,-1.6201815605163574,-0.06044548377394676,2.4748666286468506,-1.6201815605163574,3697.1328125,4096.0,1184.0,0.6328125,1749.1953125,2892.0,434.0,3697.1328125,4096.0,1184.0,0.6328125,0.0,586.1875,952.0,342.0,0.0,11,31,25.5390625,0.5625,0.4375,1.375,6,1.375,8.0,8,8,3.0346214771270752e-05,4.922971412539482,28.484456257894635,18.33667149399116,0.7385141178965569,33.839837616309524,10.044360219952068,21.83064839243889,32.717666920274496,402,4096,1184.0,4096.0,3697.1328125,434.0,2892.0,1749.1953125,11.0,31.0,25.5390625,66.03310596011579,0.00010681897401809692,3.9382389951497316,0.0030447468161582947,49.20691606588662,119.21305897831917,3.6794692277908325e-05,0.08975024133564356,5.5534218236770446e-06,0.13953613961857222,548265,119.21305897831917,2299.517371245842,
9,True,4960,0.07889106124639511,0.0018235388270113617,8.716614274817402e-06,4.462751121536712e-06,0.0022987918127910234,-0.09355510934256017,-0.09125631698407233,1.0,310.0,1.0,0.0,1.2881031185388565,1.2881031185388565,10203697.0,0.6866692714393139,0.6866692714393139,0.02848257381620245,-0.09355510934256017,0.7152102665155811,0.0018235388270113617,8.716614274817402e-06,4.462751121536712e-06,0.29110206477344036,-1.0834677964448929,0.0,0.0,0.2,0.2,0.2,3.0,0.701171875,0.1731638493407007,189.24142932891846,199.2265625,284.4784126281738,5e-06,9,0,0.234375,1.0,0.0,0.234375,1.0,0.0,-0.08277146518230438,1.6201815605163574,-1.6201815605163574,-0.08277146518230438,1.6201815605163574,-1.6201815605163574,3564.28125,4096.0,953.0,0.453125,1642.8515625,2608.0,385.0,3564.28125,4096.0,953.0,0.453125,0.0,578.5,869.0,329.0,0.0,11,31,26.03125,0.5625,0.4375,1.875,6,1.875,8.0,8,8,5.229748785495758e-05,3.812088957056403,26.324663253501058,16.110761898336932,0.6504754982888699,47.193805949762464,10.870564714918146,21.9166097920388,43.35488536953926,399,4096,953.0,4096.0,3564.28125,385.0,2608.0,1642.8515625,11.0,31.0,26.03125,74.13379674591124,0.00010812841355800629,3.809159619733691,0.0029917992651462555,47.6261313483119,125.60668846964836,3.872811794281006e-05,0.08981385419727067,5.641966193352623e-06,0.16249286923623987,530276,125.60668846964836,2110.858929809841,
10,True,6176,0.07493387162685394,0.0027613689308054745,-0.00017779701977360673,3.11708708977676e-05,0.0025421290556550957,-0.05407218518666923,-0.0515300564293284,1.0,386.0,1.0,0.0,1.0223367437720299,1.0223367437720299,7444954.375,0.4005172327160835,0.4005172327160835,0.06442611523916301,-0.05407218518666923,0.4816087220603713,0.0027613689308054745,-0.00017779701977360673,3.11708708977676e-05,0.1716122254729271,-0.8879375867545605,0.0,0.0,0.2,0.2,0.2,3.0,0.982421875,0.17143050936514564,189.24142932891846,199.2265625,284.91379165649414,5e-06,10,0,0.390625,1.0,0.0,0.390625,1.0,0.0,-0.12531641125679016,2.4748666286468506,-2.4748666286468506,-0.12531641125679016,2.4748666286468506,-2.4748666286468506,3135.0625,4096.0,441.0,0.5234375,1384.03125,2685.0,154.0,3135.0625,4096.0,441.0,0.5234375,0.0,630.8125,995.0,381.0,0.0,5,31,21.6796875,0.3125,0.6875,3.125,8,3.125,8.0,8,8,2.8975307941436768e-05,1.4798538349568844,27.890493834391236,14.313004202835145,0.1653849370777607,26.344093061983585,7.2036655753763625,27.890493834391236,22.72565351985395,381,4096,441.0,4096.0,3135.0625,154.0,2685.0,1384.03125,5.0,31.0,21.6796875,58.453755494207144,9.58666205406189e-05,3.6031166464090347,0.002965915948152542,43.58157164789736,105.66905186325312,3.9987266063690186e-05,0.09041219597017908,6.152944095314299e-06,0.1456653463203663,482032,105.66905186325312,2280.8570319330593,
